Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Read Count
18692431,"Everything, Everything",Nicola Yoon,553496646,9.78055E+12,4,4.01,Delacorte Books for Young Readers,Hardcover,312,2015,22-04-17,30-12-16,holly-golightly,1
9361589,The Night Circus,Erin Morgenstern,385534635,9.78039E+12,0,4.03,Doubleday,Hardcover,387,2011,,10-07-17,to-read,0
17162,"The Chocolate War (Chocolate War, #1)",Robert Cormier,375829873,,2,3.5,Ember,Paperback,267,2004,01-07-17,27-05-17,mount-crumpit,1
9778945,The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,393339750,9.78039E+12,0,3.89,W. W. Norton  Company,Paperback,280,2011,,29-06-17,to-read,0
25908867,Some Thoughts About Relationships,Colin Wright,,,0,4.08,Asymmetrical Press,Kindle Edition,105,2015,,26-06-17,to-read,0
26987221,The Art of Tidying Up,Kim Carruthers,,,0,3.5,Ventura Press,Kindle Edition,282,2015,,24-06-17,to-read,0
25778246,Essential: Essays by The Minimalists,Joshua Fields Millburn,,9.78194E+12,0,3.83,Asymmetrical Press,Paperback,334,2015,,23-06-17,to-read,0
13185350,Minimalism: Live a Meaningful Life,Joshua Fields Millburn,,,0,3.7,Mins Publishing,Kindle Edition,138,2011,,23-06-17,to-read,0
20370505,Everything That Remains: A Memoir by the Minimalists,Joshua Fields Millburn,1938793188,9.78194E+12,0,3.81,Asymmetrical Press,Paperback,234,2013,,23-06-17,to-read,0
22557272,The Girl on the Train,Paula Hawkins,1594633665,9.78159E+12,0,3.95,Riverhead Books,Hardcover,325,2015,,27-05-17,to-read,0
32076678,The Fact of a Body: A Murder and a Memoir,Alexandria Marzano-Lesnevich,1250080541,9.78125E+12,0,3.8,Flatiron Books,Hardcover,326,2017,,27-05-17,to-read,0
23513349,Milk and Honey,Rupi Kaur,1502784270,9.7815E+12,5,4.02,Createspace,Paperback,204,2014,16-05-17,29-12-16,breakfast-at-tiffany-s,1
21943246,Black Ice,Becca Fitzpatrick,1442474289,9.78144E+12,4,3.87,Simon  Schuster Books for Young Readers,ebook,400,2014,11-05-17,08-07-16,holly-golightly,1
34627187,Finding Gobi: The True Story of a Little Dog and an Incredible Journey,Dion Leonard,,,0,4.15,HarperCollins,Kindle Edition,239,2017,,06-05-17,to-read,0
24377513,10 Steps to Earning Awesome Grades (While Studying Less),Thomas   Frank,,,5,4.26,,ebook,83,2015,05-05-17,27-01-17,breakfast-at-tiffany-s,1
13568619,The Shadowhunter's Codex,Cassandra Clare,,,5,3.94,Simon and Schuster,Hardcover,274,2013,30-04-17,24-04-17,holly-golightly,1
25614898,When Breath Becomes Air,Paul Kalanithi,081298840X,9.78081E+12,5,4.38,Random House,Hardcover,229,2016,30-03-17,24-11-16,breakfast-at-tiffany-s,1
